current toon,new toon,number of dots,level,set,shape,primary stat type,primary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value
Geonosian Soldier,TBD,5,15,Health,square,Offense%,5.88,Protection,539.0,Defense,6.0,Offense,41.0,Health,220.0
Magmatrooper,TBD,5,15,Health,square,Offense%,5.88,Speed,3.0,Health,328.0,Protection,570.0,Potency%,2.01
Sun Fac,TBD,5,15,Health,square,Offense%,5.88,Health%,1.68,Tenacity%,1.57,Defense%,1.33,Critical Chance%,2.05
Hera Syndulla,TBD,5,15,Health,square,Offense%,5.88,Defense%,3.26,Tenacity%,1.34,Speed,4.0,Critical Chance%,1.44
First Order TIE Pilot,TBD,5,15,Health,square,Offense%,5.88,Health%,0.74,Offense,48.0,Potency%,5.1,Defense,6.0
Poe Dameron,TBD,5,15,Health,square,Offense%,5.88,Speed,9.0,Defense,13.0,Defense%,1.16,Potency%,2.09
Darth Sidious,TBD,5,15,Health,square,Offense%,5.88,Health,748.0,Speed,3.0,Offense,25.0,Health%,0.81
Mother Talzin,TBD,5,15,Health,square,Offense%,5.88,Speed,10.0,Protection,1335.0,Defense,5.0,Health,404.0
Coruscant Underworld Police,TBD,5,15,Health,square,Offense%,5.88,Speed,8.0,Defense,15.0,Protection%,1.75,Defense%,1.43
Baze Malbus,TBD,5,15,Health,square,Offense%,5.88,Speed,9.0,Defense%,2.58,Protection%,1.98,Tenacity%,1.73
Chopper,TBD,5,15,Health,square,Offense%,5.88,Defense%,1.37,Protection%,1.13,Protection,672.0,Critical Chance%,1.29
Veteran Smuggler Han Solo,TBD,5,15,Health,square,Offense%,5.88,Health%,0.99,Protection%,1.95,Defense,6.0,Defense%,1.1
Stormtrooper Han,TBD,5,15,Health,square,Offense%,5.88,Speed,7.0,Critical Chance%,1.79,Potency%,1.15,Offense,31.0
Finn,TBD,5,15,Health,square,Offense%,5.88,Speed,8.0,Offense,27.0,Potency%,2.22,Protection,776.0
Death Trooper,bandy legs,5,15,Defense,square,Offense%,5.88,Protection%,2.65,Potency%,1.23,Protection,730.0,Health,336.0
Biggs Darklighter,TBD,5,15,Crit Damage,square,Offense%,5.88,Critical Chance%,5.61,Protection,501.0,Health,353.0,Health%,1.05
Han Solo,TBD,5,15,Crit Damage,square,Offense%,5.88,Potency%,2.82,Protection%,1.67,Speed,3.0,Critical Chance%,2.05
Asajj Ventress,TBD,5,15,Crit Damage,square,Offense%,5.88,Protection%,1.56,Protection,523.0,Speed,3.0,Critical Chance%,1.77
Princess Leia,TBD,5,15,Crit Damage,square,Offense%,5.88,Defense%,1.25,Protection%,1.82,Health,300.0,Potency%,1.38
TIE Fighter Pilot,TBD,5,15,Crit Damage,square,Offense%,5.88,Offense,85.0,Protection,1448.0,Defense,5.0,Defense%,1.63
Chirrut Îmwe,TBD,5,15,Crit Damage,square,Offense%,5.88,Critical Chance%,3.92,Offense,55.0,Defense,5.0,Health%,0.62
Jyn Erso,TBD,5,15,Crit Chance,square,Offense%,5.88,Offense,32.0,Speed,3.0,Potency%,1.93,Health,237.0
Savage Opress,TBD,5,15,Crit Chance,square,Offense%,5.88,Defense%,2.61,Protection,799.0,Potency%,1.82,Offense,39.0
Darth Vader,TBD,5,15,Crit Chance,square,Offense%,5.88,Potency%,1.91,Speed,13.0,Protection,555.0,Health%,0.96
Kanan Jarrus,TBD,5,15,Crit Chance,square,Offense%,5.88,Protection%,3.42,Defense,18.0,Critical Chance%,1.72,Protection,709.0
Lando Calrissian,TBD,5,15,Tenacity,square,Offense%,5.88,Offense,60.0,Speed,5.0,Protection,1495.0,Tenacity%,2.93
Boba Fett,TBD,5,15,Offense,square,Offense%,5.88,Offense,29.0,Critical Chance%,1.65,Health%,1.0,Health,355.0
Rey (Scavenger),TBD,5,15,Offense,square,Offense%,5.88,Tenacity%,3.41,Defense%,3.85,Speed,3.0,Critical Chance%,1.47
Resistance Trooper,TBD,5,15,Potency,square,Offense%,5.88,Critical Chance%,1.69,Health%,0.91,Speed,4.0,Health,345.0
First Order Officer,TBD,5,15,Potency,square,Offense%,5.88,Defense,21.0,Critical Chance%,1.36,Health,401.0,Offense,44.0
Luke Skywalker (Farmboy),TBD,5,15,Potency,square,Offense%,5.88,Tenacity%,2.11,Defense%,4.04,Health%,0.68,Defense,7.0
Ezra Bridger,TBD,5,15,Potency,square,Offense%,5.88,Offense,39.0,Tenacity%,1.36,Health%,0.59,Speed,3.0
Kylo Ren (Unmasked),TBD,5,15,Potency,square,Offense%,5.88,Protection%,1.51,Tenacity%,2.05,Defense%,1.24,Critical Chance%,1.81
Emperor Palpatine,TBD,5,15,Potency,square,Offense%,5.88,Defense,7.0,Protection%,4.71,Tenacity%,2.18,Health%,0.79
Admiral Ackbar,TBD,5,15,Speed,square,Offense%,5.88,Speed,4.0,Protection%,1.97,Defense%,1.17,Health,303.0
General Veers,TBD,5,15,Speed,square,Offense%,5.88,Health%,1.67,Protection%,5.08,Critical Chance%,1.79,Defense,5.0
Grand Moff Tarkin,TBD,5,15,Speed,square,Offense%,5.88,Defense%,0.94,Potency%,1.35,Defense,5.0,Speed,4.0
BB-8,TBD,5,15,Speed,square,Offense%,5.88,Offense,42.0,Health%,0.6,Protection,487.0,Protection%,1.14
Commander Luke Skywalker,cls,5,15,Speed,square,Offense%,5.88,Offense,25.0,Defense,8.0,Speed,17.0,Protection%,1.96
Colonel Starck,TBD,5,15,Speed,square,Offense%,5.88,Health,1119.0,Critical Chance%,2.03,Defense,14.0,Health%,0.62
Asajj Ventress,TBD,5,15,Health,arrow,Speed,30.0,Potency%,3.24,Tenacity%,3.31,Defense%,1.23,Offense,34.0
Veteran Smuggler Chewbacca,TBD,5,15,Health,arrow,Offense%,5.88,Protection,1328.0,Offense,64.0,Health%,1.55,Health,410.0
Coruscant Underworld Police,TBD,5,15,Health,arrow,Speed,30.0,Health,617.0,Protection,1319.0,Potency%,1.51,Critical Chance%,1.87
Baze Malbus,TBD,5,15,Health,arrow,Speed,30.0,Offense%,0.47,Health,351.0,Offense,27.0,Protection%,1.44
Hoth Rebel Soldier,TBD,5,15,Health,arrow,Critical Avoidance%,24.0,Health,712.0,Protection,671.0,Tenacity%,1.66,Offense%,0.47
